5,18.0,7.38,-1.0
5,19.0,7.05,-1.0
5,20.0,7.08,-1.0
5,21.0,7.18,-1.0
5,22.0,7.55,-1.0
5,23.0,7.49,-1.0
6,0.0,7.43,-1.0
6,1.0,7.41,-1.0
6,2.0,7.39,-1.0
6,3.0,7.37,-1.0
6,4.0,6.94,-1.0
6,5.0,6.69,-1.0
6,6.0,7.07,-1.0
6,7.0,7.46,-1.0
6,8.0,7.48,-1.0
6,9.0,7.02,-1.0
6,10.0,7.43,-1.0
6,11.0,7.25,-1.0
6,12.0,8.06,-1.0
6,13.0,8.18,-1.0
6,14.0,8.07,-1.0
6,15.0,6.94,-1.0
6,16.0,7.74,-1.0
6,17.0,6.72,-1.0
6,18.0,6.07,-1.0
6,19.0,5.11,-1.0
6,20.0,4.78,-1.0
6,21.0,5.19,-1.0
6,22.0,5.14,-1.0
6,23.0,4.8,-1.0
0,0.0,5.18,-1.0
0,1.0,4.78,-1.0
0,2.0,4.69,-1.0
0,3.0,4.62,-1.0
0,4.0,4.57,-1.0
0,5.0,4.58,-1.0
0,6.0,4.47,-1.0
0,7.0,4.23,-1.0
0,8.0,4.74,-1.0
0,9.0,5.35,-1.0
0,10.0,5.96,-1.0
0,11.0,6.54,-1.0
0,12.0,7.54,-1.0
0,13.0,8.21,-1.0
0,14.0,8.78,-1.0
0,15.0,6.13,-1.0
0,16.0,6.59,-1.0
0,17.0,6.39,-1.0
0,18.0,6.25,-1.0
0,19.0,5.83,-1.0
0,20.0,5.22,-1.0
0,21.0,5.11,-1.0
0,22.0,4.53,-1.0
0,23.0,4.08,-1.0
1,0.0,3.19,-1.0
1,1.0,2.77,-1.0
1,2.0,3.02,-1.0
1,3.0,3.01,-1.0
1,4.0,2.97,-1.0
1,5.0,3.18,-1.0
1,6.0,4.72,-1.0
1,7.0,5.82,-1.0
1,8.0,6.42,-1.0
1,9.0,6.92,-1.0
1,10.0,6.96,-1.0
1,11.0,7.09,-1.0
1,12.0,7.36,-1.0
1,13.0,6.88,-1.0
1,14.0,6.68,-1.0
1,15.0,7.46,-1.0
1,16.0,7.51,-1.0
1,17.0,6.77,-1.0
1,18.0,5.75,-1.0
1,19.0,5.23,-1.0
1,20.0,5.12,-1.0
1,21.0,4.75,-1.0
1,22.0,4.17,-1.0
1,23.0,3.58,-1.0
2,0.0,3.07,-1.0
2,1.0,3.03,-1.0
2,2.0,3.18,-1.0
2,3.0,4.07,-1.0
2,4.0,4.27,-1.0
2,5.0,4.61,-1.0
2,6.0,4.65,-1.0
2,7.0,4.8,-1.0
2,8.0,5.5,-1.0
2,9.0,6.62,-1.0
2,10.0,7.69,-1.0
2,11.0,8.13,-1.0
2,12.0,8.16,-1.0
2,13.0,7.84,-1.0
2,14.0,6.51,-1.0
2,15.0,7.59,-1.0
2,16.0,8.83,-1.0
2,17.0,8.12,-1.0
2,18.0,8.05,-1.0
2,19.0,7.79,-1.0
2,20.0,6.49,-1.0
2,21.0,6.72,-1.0
2,22.0,5.82,-1.0
2,23.0,5.56,-1.0
3,0.0,5.37,-1.0
3,1.0,5.23,-1.0
3,2.0,4.8,-1.0
3,3.0,4.67,-1.0
3,4.0,4.17,-1.0
3,5.0,4.14,-1.0
3,6.0,4.67,-1.0
3,7.0,4.73,-1.0
3,8.0,5.19,-1.0
3,9.0,5.26,-1.0
