0.25095952,1,0.0,7.01,5.0
0.21190034,1,1.0,7.49,5.0
0.17796406,1,2.0,7.16,5.0
0.1499067,1,3.0,7.04,5.0
0.13376094,1,4.0,6.29,5.0
0.12773916,1,5.0,6.2,5.0
0.13041677,1,6.0,5.73,5.0
0.13911599,1,7.0,5.04,5.0
0.16099565,1,8.0,5.76,5.0
0.18950917,1,9.0,5.36,5.0
0.21637629,1,10.0,5.22,5.0
0.24118152,1,11.0,4.44,5.0
0.2543447,1,12.0,4.01,5.0
0.26495427,1,13.0,3.94,5.0
0.26475242,1,14.0,3.37,5.0
0.27183172,1,15.0,3.31,5.0
0.29277328,1,16.0,3.34,5.0
0.3515264,1,17.0,3.36,5.0
0.3883458,1,18.0,3.5,5.0
0.3860214,1,19.0,4.42,5.0
0.3719555,1,20.0,4.93,5.0
0.34413087,1,21.0,5.55,5.0
0.322507,1,22.0,6.1,5.0
0.2732229,1,23.0,6.77,5.0
0.23619968,2,0.0,4.01,-1.0
0.18624832,2,1.0,3.94,-1.0
0.14908366,2,2.0,3.37,-1.0
0.13271706,2,3.0,3.31,-1.0
0.12621379,2,4.0,3.34,-1.0
0.1257706,2,5.0,3.36,-1.0
0.13862105,2,6.0,3.5,-1.0
0.1665882,2,7.0,4.42,-1.0
0.20615771,2,8.0,4.93,-1.0
0.23030199,2,9.0,5.55,-1.0
0.23887731,2,10.0,6.1,-1.0
0.24602214,2,11.0,6.77,-1.0
0.25359547,2,12.0,7.22,-1.0
0.2656969,2,13.0,7.58,-1.0
0.26234737,2,14.0,7.53,-1.0
0.2708446,2,15.0,7.64,-1.0
0.29585877,2,16.0,8.17,-1.0
0.3410826,2,17.0,8.78,-1.0
0.37969196,2,18.0,9.42,-1.0
0.3950472,2,19.0,9.86,-1.0
0.3934275,2,20.0,10.33,-1.0
0.36419877,2,21.0,10.51,-1.0
0.32449853,2,22.0,10.82,-1.0
0.27268058,2,23.0,10.77,-1.0
0.23449655,3,0.0,10.69,-1.0
0.1807886,3,1.0,10.31,-1.0
0.14679696,3,2.0,10.27,-1.0
0.12900163,3,3.0,10.28,-1.0
0.12219924,3,4.0,10.19,-1.0
0.12219107,3,5.0,9.74,-1.0
0.13952768,3,6.0,9.72,-1.0
0.16869262,3,7.0,9.65,-1.0
0.21214081,3,8.0,9.73,-1.0
