timestamp,kWh,weekday,hour,temperature,Holiday
2013-01-04 03:00:00,0.1261697529956427,4,3.0,9.82,3.0
2013-01-04 04:00:00,0.12011165582788672,4,4.0,9.76,3.0
2013-01-04 05:00:00,0.12030337683369643,4,5.0,9.76,3.0
2013-01-04 06:00:00,0.13489778498547567,4,6.0,9.72,3.0
2013-01-04 07:00:00,0.1672543573710966,4,7.0,9.55,3.0
2013-01-04 08:00:00,0.21126234575163397,4,8.0,9.57,3.0
2013-01-04 09:00:00,0.2329068627995643,4,9.0,9.31,3.0
2013-01-04 10:00:00,0.22480973124546114,4,10.0,9.61,3.0
2013-01-04 11:00:00,0.2270163398148148,4,11.0,9.76,3.0
2013-01-04 12:00:00,0.22692937554466228,4,12.0,9.71,3.0
2013-01-04 13:00:00,0.2307362018700073,4,13.0,9.84,3.0
2013-01-04 14:00:00,0.23939941917211324,4,14.0,10.15,3.0
2013-01-04 15:00:00,0.26139664884356223,4,15.0,10.17,3.0
2013-01-04 16:00:00,0.2788320014166364,4,16.0,9.75,3.0
2013-01-04 17:00:00,0.3343804939520523,4,17.0,9.67,3.0
2013-01-04 18:00:00,0.36293700088961517,4,18.0,9.58,3.0
2013-01-04 19:00:00,0.3769831155591866,4,19.0,9.49,3.0
2013-01-04 20:00:00,0.3633576615831518,4,20.0,9.04,3.0
2013-01-04 21:00:00,0.33420243300653596,4,21.0,9.08,3.0
2013-01-04 22:00:00,0.30947821325344954,4,22.0,8.62,3.0
2013-01-04 23:00:00,0.27006336247276685,4,23.0,8.17,3.0
2013-01-05 00:00:00,0.2366399783587509,5,0.0,8.12,-1.0
2013-01-05 01:00:00,0.18887171103248052,5,1.0,8.09,-1.0
2013-01-05 02:00:00,0.15078461259299583,5,2.0,8.07,-1.0
2013-01-05 03:00:00,0.13161694808564686,5,3.0,8.09,-1.0
2013-01-05 04:00:00,0.12193140970785701,5,4.0,8.09,-1.0
2013-01-05 05:00:00,0.12056686624931955,5,5.0,8.14,-1.0
2013-01-05 06:00:00,0.13022046811830884,5,6.0,8.14,-1.0
2013-01-05 07:00:00,0.14671420805661403,5,7.0,8.18,-1.0
2013-01-05 08:00:00,0.18444347671928868,5,8.0,8.69,-1.0
2013-01-05 09:00:00,0.2232761748865905,5,9.0,8.75,-1.0
2013-01-05 10:00:00,0.24424713797928405,5,10.0,9.17,-1.0
2013-01-05 11:00:00,0.25869914726909815,5,11.0,9.8,-1.0
2013-01-05 12:00:00,0.262068952876066,5,12.0,10.32,-1.0
2013-01-05 13:00:00,0.27119506427145706,5,13.0,10.45,-1.0
2013-01-05 14:00:00,0.268295953529305,5,14.0,10.66,-1.0
2013-01-05 15:00:00,0.2674449282707313,5,15.0,10.28,-1.0
2013-01-05 16:00:00,0.2885354744873888,5,16.0,10.17,-1.0
2013-01-05 17:00:00,0.3388942115587008,5,17.0,10.18,-1.0
2013-01-05 18:00:00,0.36904046436218474,5,18.0,10.17,-1.0
2013-01-05 19:00:00,0.38252794907441023,5,19.0,10.14,-1.0
2013-01-05 20:00:00,0.3574311379422972,5,20.0,9.69,-1.0
2013-01-05 21:00:00,0.3303647913430127,5,21.0,9.08,-1.0
2013-01-05 22:00:00,0.30388441301034297,5,22.0,8.39,-1.0
2013-01-05 23:00:00,0.2735902740700417,5,23.0,7.84,-1.0
2013-01-06 00:00:00,0.2462778083106514,6,0.0,7.42,-1.0
2013-01-06 01:00:00,0.1946722323049002,6,1.0,7.71,-1.0
2013-01-06 02:00:00,0.15372323039927405,6,2.0,7.26,-1.0
2013-01-06 03:00:00,0.13069546290381126,6,3.0,6.91,-1.0
2013-01-06 04:00:00,0.12233363575966602,6,4.0,7.03,-1.0
2013-01-06 05:00:00,0.11759600720508166,6,5.0,6.99,-1.0
2013-01-06 06:00:00,0.12714482764065335,6,6.0,6.98,-1.0
2013-01-06 07:00:00,0.1402882032849365,6,7.0,6.98,-1.0
2013-01-06 08:00:00,0.16871695708061002,6,8.0,7.02,-1.0
2013-01-06 09:00:00,0.2204727804895871,6,9.0,7.53,-1.0
2013-01-06 10:00:00,0.2553198401343257,6,10.0,7.53,-1.0
2013-01-06 11:00:00,0.2723599564167725,6,11.0,7.97,-1.0
2013-01-06 12:00:00,0.28067090226901437,6,12.0,7.57,-1.0
2013-01-06 13:00:00,0.3128128513160283,6,13.0,7.68,-1.0
2013-01-06 14:00:00,0.3176610383986928,6,14.0,7.61,-1.0
2013-01-06 15:00:00,0.3153561443819205,6,15.0,7.3,-1.0
2013-01-06 16:00:00,0.328970412180069,6,16.0,7.51,-1.0
2013-01-06 17:00:00,0.37604519030853,6,17.0,7.57,-1.0
2013-01-06 18:00:00,0.4016738656987296,6,18.0,7.6,-1.0
2013-01-06 19:00:00,0.40429945533575323,6,19.0,7.96,-1.0
2013-01-06 20:00:00,0.38317302116920837,6,20.0,8.53,-1.0
2013-01-06 21:00:00,0.3599903756854912,6,21.0,8.57,-1.0
2013-01-06 22:00:00,0.3216543211147422,6,22.0,8.61,-1.0
2013-01-06 23:00:00,0.2653596585693537,6,23.0,8.48,-1.0
2013-01-07 00:00:00,0.21999727667029775,0,0.0,8.06,-1.0
2013-01-07 01:00:00,0.17065299466424683,0,1.0,7.98,-1.0
2013-01-07 02:00:00,0.13746297640653357,0,2.0,7.94,-1.0
2013-01-07 03:00:00,0.12253411976406535,0,3.0,7.56,-1.0
2013-01-07 04:00:00,0.11853684208711435,0,4.0,7.47,-1.0
2013-01-07 05:00:00,0.12055263156079855,0,5.0,7.11,-1.0
2013-01-07 06:00:00,0.13818275863883847,0,6.0,7.1,-1.0
2013-01-07 07:00:00,0.18609528130671507,0,7.0,7.39,-1.0
2013-01-07 08:00:00,0.23643974597096187,0,8.0,7.45,-1.0
2013-01-07 09:00:00,0.24379233995280447,0,9.0,7.5,-1.0
2013-01-07 10:00:00,0.24075299451905624,0,10.0,7.89,-1.0
2013-01-07 11:00:00,0.23538602546279488,0,11.0,7.97,-1.0
2013-01-07 12:00:00,0.23846170575317605,0,12.0,8.06,-1.0
2013-01-07 13:00:00,0.24313053740014526,0,13.0,8.56,-1.0
2013-01-07 14:00:00,0.23819480731663034,0,14.0,8.56,-1.0
2013-01-07 15:00:00,0.23530199626134304,0,15.0,8.52,-1.0
2013-01-07 16:00:00,0.26411633386569877,0,16.0,8.37,-1.0
2013-01-07 17:00:00,0.32580617081669694,0,17.0,8.04,-1.0
2013-01-07 18:00:00,0.3668010528045017,0,18.0,8.07,-1.0
2013-01-07 19:00:00,0.4035717918678526,0,19.0,8.19,-1.0
2013-01-07 20:00:00,0.3872888003993465,0,20.0,8.57,-1.0
2013-01-07 21:00:00,0.35837894718693286,0,21.0,9.02,-1.0
2013-01-07 22:00:00,0.32608820324863885,0,22.0,9.02,-1.0
2013-01-07 23:00:00,0.26817280822290795,0,23.0,9.08,-1.0
2013-01-08 00:00:00,0.2174723179161372,1,0.0,9.08,-1.0
2013-01-08 01:00:00,0.16859499179822174,1,1.0,9.1,-1.0
2013-01-08 02:00:00,0.1378987480130648,1,2.0,9.11,-1.0
2013-01-08 03:00:00,0.12174832159317726,1,3.0,9.24,-1.0
2013-01-08 04:00:00,0.11866872282293178,1,4.0,9.62,-1.0
2013-01-08 05:00:00,0.11847949911103046,1,5.0,9.65,-1.0
2013-01-08 06:00:00,0.1395976051161103,1,6.0,9.64,-1.0
2013-01-08 07:00:00,0.19363534112844702,1,7.0,9.53,-1.0
2013-01-08 08:00:00,0.2512407474963716,1,8.0,9.02,-1.0
2013-01-08 09:00:00,0.23330678521407835,1,9.0,9.08,-1.0
